@relation dataset_preprocessed-weka.filters.unsupervised.attribute.NumericToNominal-R2_clustered

@attribute Instance_number numeric
@attribute CdS {CdS1,CdS2,CdS3}
@attribute Coorte {2010,2011,2012,2013,2014,2015,2016}
@attribute Genere {M,F}
@attribute Voto_test numeric
@attribute Crediti_convoto numeric
@attribute Crediti_totali numeric
@attribute Voto_medio numeric
@attribute Scuola_provenienza {LC,LS,TC,IT,Altro,IP}
@attribute Esame_Matematica {EsameMatematica,'Non superato'}
@attribute Voto_Matematica numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
192,CdS1,2011,M,1.414008,1.411528,1.320008,0.812996,LC,EsameMatematica,0.93139,cluster1
193,CdS1,2011,F,1.197399,1.411528,1.320008,0.577351,LS,EsameMatematica,0.747809,cluster1
194,CdS1,2011,M,-0.318858,0.443713,0.40272,0.341705,LC,EsameMatematica,0.288857,cluster0
195,CdS1,2011,M,0.764183,-0.685405,-0.820331,-0.247409,LS,EsameMatematica,0.105276,cluster2
196,CdS1,2011,M,-0.318858,1.411528,1.320008,0.10606,LC,EsameMatematica,0.105276,cluster1
197,CdS1,2011,F,0.114358,1.411528,1.167127,0.341705,LS,EsameMatematica,0.93139,cluster1
198,CdS1,2011,F,-0.535466,0.443713,0.40272,-0.129586,LC,EsameMatematica,0.013485,cluster0
199,CdS1,2011,M,-0.10225,-1.00801,-1.126094,0.695173,IT,EsameMatematica,0.105276,cluster2
200,CdS1,2011,M,1.630616,1.411528,1.320008,0.695173,LS,EsameMatematica,1.02318,cluster1
201,CdS1,2011,M,0.330967,1.411528,1.167127,0.459528,LS,EsameMatematica,0.472438,cluster1
202,CdS1,2011,F,-0.318858,0.766318,0.555601,0.577351,LS,EsameMatematica,0.472438,cluster0
203,CdS1,2011,M,1.197399,1.411528,1.320008,0.577351,LS,EsameMatematica,0.747809,cluster1
204,CdS1,2011,M,0.980791,1.411528,1.320008,0.459528,LS,EsameMatematica,0.747809,cluster1
205,CdS1,2011,M,-0.318858,-1.65322,-1.584738,-2.603863,LS,'Non superato',-1.822323,cluster3
206,CdS1,2011,F,-0.968683,-1.65322,-1.584738,-2.603863,Altro,'Non superato',-1.822323,cluster3
207,CdS1,2011,F,-0.968683,-1.65322,-1.584738,-2.603863,Altro,'Non superato',-1.822323,cluster3
208,CdS1,2011,M,-0.318858,-1.330615,-0.361687,0.223882,TC,EsameMatematica,0.013485,cluster2
209,CdS1,2011,M,-0.318858,-0.040195,-0.055924,0.341705,LS,EsameMatematica,1.02318,cluster0
210,CdS1,2011,M,0.764183,1.411528,1.320008,0.577351,LS,EsameMatematica,0.93139,cluster1
211,CdS1,2011,M,-0.318858,0.121108,0.096957,-0.011763,LS,EsameMatematica,0.197066,cluster0
212,CdS1,2011,F,-0.968683,0.28241,0.861364,0.459528,LC,EsameMatematica,0.472438,cluster0
213,CdS1,2011,F,-0.968683,0.28241,0.861364,0.459528,LC,EsameMatematica,0.564228,cluster0
214,CdS1,2011,M,-0.10225,1.411528,1.167127,0.10606,Altro,EsameMatematica,0.197066,cluster1
215,CdS1,2011,M,-0.535466,-0.3628,0.861364,0.10606,IT,EsameMatematica,0.288857,cluster2
216,CdS1,2011,F,-1.185291,-1.330615,-1.278975,0.10606,TC,'Non superato',-1.822323,cluster3
217,CdS1,2011,F,-0.535466,-1.330615,-1.278975,0.10606,IT,'Non superato',-1.822323,cluster3
