CdS,Coorte,Genere,Voto_test,Crediti_convoto,Crediti_totali,Voto_medio,Scuola_provenienza,Esame_Matematica,Voto_Matematica,Crediti_Matematica
CdS1,2015,M,25.00,57,60,30,LS,EsameMatematica,31,12
CdS1,2015,M,24.00,45,45,28,LS,EsameMatematica,30,12
CdS1,2015,F,17.00,21,24,21,,EsameMatematica,19,12
CdS1,2015,M,18.00,33,36,23,LS,EsameMatematica,25,12
CdS1,2015,M,15.00,12,12,22,LS,,,
CdS1,2015,M,20.00,12,27,18,LS,EsameMatematica,18,12
CdS1,2015,F,20.00,33,36,24,LC,EsameMatematica,25,12
CdS1,2015,M,18.00,33,36,22,LS,EsameMatematica,21,12
CdS1,2015,M,24.00,45,48,22,LS,EsameMatematica,22,12
CdS1,2015,M,24.00,39,42,26,,EsameMatematica,25,12
CdS1,2015,M,13.00,0,3,0,IT,,,
CdS1,2015,M,25.00,45,48,24,LS,EsameMatematica,24,12
CdS1,2015,F,25.00,57,60,27,,EsameMatematica,28,12
CdS1,2015,F,10.00,0,3,0,LC,,,
CdS1,2015,F,22.00,39,42,24,LS,EsameMatematica,19,12
CdS1,2015,M,23.00,33,36,22,LS,EsameMatematica,20,12
CdS1,2015,M,22.00,33,36,22,LS,EsameMatematica,21,12
CdS1,2015,M,14.00,6,9,24,LS,,,
CdS1,2015,M,24.00,57,60,25,LS,EsameMatematica,22,12
CdS1,2015,F,23.00,0,9,0,LS,,,
CdS1,2015,M,23.00,57,60,29,LS,EsameMatematica,31,12
CdS1,2015,F,20.00,9,12,25,LS,,,
CdS1,2015,F,7.00,9,12,25,LS,,,
CdS1,2015,F,23.00,6,9,23,LS,EsameMatematica,27,12
CdS1,2015,M,23.00,45,48,25,LS,EsameMatematica,26,12
CdS1,2015,M,22.00,27,30,22,LS,EsameMatematica,19,12
CdS1,2015,M,20.00,0,3,0,AL,,,
CdS1,2015,M,24.00,39,39,20,LS,EsameMatematica,20,12
CdS1,2015,F,16.00,15,15,25,LS,,,
CdS1,2015,F,8.00,0,3,0,AL,,,
CdS1,2015,F,9.00,0,6,0,LC,,,
